"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT04","WT06","WT08"
"US1LACD0001","SHREVEPORT 6.2 S, LA US","32.382509","-93.797925","59.1","2021-02-13",,,"0.00","0.0",,,,,,,,,,,,,,,
"US1LACD0001","SHREVEPORT 6.2 S, LA US","32.382509","-93.797925","59.1","2021-02-14",,,"0.00",,,,,,,,,,,,,,,,
"US1LACD0001","SHREVEPORT 6.2 S, LA US","32.382509","-93.797925","59.1","2021-02-15",,,"0.63","3.5","4.0",,,,,,,,,,,,,,
"US1LACD0001","SHREVEPORT 6.2 S, LA US","32.382509","-93.797925","59.1","2021-02-16",,,"0.00","0.0","3.0",,,,,,,,,,,,,,
"US1LACD0012","KEITHVILLE 1.5 NNW, LA US","32.3586669","-93.855524","67.7","2021-02-13",,,"0.01",,,,,,,,,,,,,,,,
"US1LACD0012","KEITHVILLE 1.5 NNW, LA US","32.3586669","-93.855524","67.7","2021-02-14",,,"0.01",,,,,,,,,,,,,,,,
"US1LACD0012","KEITHVILLE 1.5 NNW, LA US","32.3586669","-93.855524","67.7","2021-02-15",,,"0.00","0.0","4.5",,,,,,,,,,,,,,
"USC00168444","SHREVEPORT SOUTHERN HILLS, LA US","32.3919","-93.7802","61.0","2021-02-13",,,"0.00","0.0","0.0",,"33","28","28",,,,,,,,,,
"USC00168444","SHREVEPORT SOUTHERN HILLS, LA US","32.3919","-93.7802","61.0","2021-02-14",,,"0.00","0.0","0.0",,"40","28","29",,,,,,,,,,
"USC00168444","SHREVEPORT SOUTHERN HILLS, LA US","32.3919","-93.7802","61.0","2021-02-15",,,,"3.0","4.0",,"29","16","16",,,,,,,,,,
"USC00168444","SHREVEPORT SOUTHERN HILLS, LA US","32.3919","-93.7802","61.0","2021-02-16",,,,,"4.0",,"20","2","2",,,,,,,,,,
"US1LACD0004","SHREVEPORT 6.3 S, LA US","32.379624","-93.801938","57.3","2021-02-13",,,"0.00","0.0",,,,,,,,,,,,,,,
"US1LACD0004","SHREVEPORT 6.3 S, LA US","32.379624","-93.801938","57.3","2021-02-14",,,"0.00",,,,,,,,,,,,,,,,
"US1LACD0004","SHREVEPORT 6.3 S, LA US","32.379624","-93.801938","57.3","2021-02-15",,,"0.81","0.0","4.0",,,,,,,,,,,,,,
"US1LACD0004","SHREVEPORT 6.3 S, LA US","32.379624","-93.801938","57.3","2021-02-16",,,"0.00","0.0",,,,,,,,,,,,,,,
"US1LACD0026","BLANCHARD 2.8 NNE, LA US","32.621665","-93.88497","72.5","2021-02-13",,,"0.00","0.0",,,,,,,,,,,,,,,
"US1LACD0026","BLANCHARD 2.8 NNE, LA US","32.621665","-93.88497","72.5","2021-02-14",,,"0.08",,,,,,,,,,,,,,,,
"US1LACD0029","SHREVEPORT 12.9 NNW, LA US","32.63027778","-93.91361111","84.1","2021-02-13",,,"0.00","0.0",,,,,,,,,,,,,,,
"US1LACD0029","SHREVEPORT 12.9 NNW, LA US","32.63027778","-93.91361111","84.1","2021-02-14",,,"0.00","0.0",,,,,,,,,,,,,,,
"US1LACD0029","SHREVEPORT 12.9 NNW, LA US","32.63027778","-93.91361111","84.1","2021-02-15",,,"0.00","4.9","4.9",,,,,,,,,,,,,,
"US1LACD0029","SHREVEPORT 12.9 NNW, LA US","32.63027778","-93.91361111","84.1","2021-02-16",,,"0.00","0.7","5.6",,,,,,,,,,,,,,
"US1LACD0019","SHREVEPORT 6.7 S, LA US","32.375538","-93.805489","51.8","2021-02-13",,,"0.00","0.0",,,,,,,,,,,,,,,
"US1LACD0019","SHREVEPORT 6.7 S, LA US","32.375538","-93.805489","51.8","2021-02-14",,,"0.00",,,,,,,,,,,,,,,,
"US1LACD0019","SHREVEPORT 6.7 S, LA US","32.375538","-93.805489","51.8","2021-02-15",,,"0.67","3.5","3.5",,,,,,,,,,,,,,
"US1LACD0019","SHREVEPORT 6.7 S, LA US","32.375538","-93.805489","51.8","2021-02-16",,,"0.00",,"3.0",,,,,,,,,,,,,,
"US1LADS0006","STONEWALL 5.3 NE, LA US","32.321724","-93.75777","55.5","2021-02-13",,,"0.00","0.0",,,,,,,,,,,,,,,
"US1LADS0006","STONEWALL 5.3 NE, LA US","32.321724","-93.75777","55.5","2021-02-14",,,"0.00","0.0",,,,,,,,,,,,,,,
"US1LADS0006","STONEWALL 5.3 NE, LA US","32.321724","-93.75777","55.5","2021-02-15",,,"0.40","4.0",,,,,,,,,,,,,,,
"US1LADS0006","STONEWALL 5.3 NE, LA US","32.321724","-93.75777","55.5","2021-02-16",,,"0.00",,,,,,,,,,,,,,,,
"USC00164816","KEITHVILLE, LA US","32.355","-93.8619","61.0","2021-02-13",,,"0.00","0.0","0.0",,,,,,,,,,,,,,
"USC00164816","KEITHVILLE, LA US","32.355","-93.8619","61.0","2021-02-14",,,"0.01","0.0","0.0",,,,,,,,,,,,,,
"USC00164816","KEITHVILLE, LA US","32.355","-93.8619","61.0","2021-02-15",,,"0.65","4.0","4.0",,,,,,,,,,,,,,
"USC00164816","KEITHVILLE, LA US","32.355","-93.8619","61.0","2021-02-16",,,"0.00","0.0","0.0",,,,,,,,,,,,,,
